species,region,gear,season,vessel_size,area,days,n_ind
A,North,Gillnets,winter,small,a,74.9503386996665,15
B,North,Gillnets,winter,small,a,89.1195594180681,2
C,North,Gillnets,winter,small,a,90.7779435458993,1
D,North,Gillnets,winter,small,a,53.2305154155283,3
E,North,Gillnets,winter,small,a,91.9100134892315,7
F,North,Gillnets,winter,small,a,80.6560566718053,0
G,North,Gillnets,winter,small,a,72.3060563091166,0
H,North,Gillnets,winter,small,a,67.0109540107708,1
I,North,Gillnets,winter,small,a,65.9120978272526,0
J,North,Gillnets,winter,small,a,95.7858436986501,0
A,South,Gillnets,winter,small,a,61.2644801809545,47
B,South,Gillnets,winter,small,a,79.6775583579398,0
C,South,Gillnets,winter,small,a,54.9486143223432,0
D,South,Gillnets,winter,small,a,61.7152402311701,4
E,South,Gillnets,winter,small,a,83.5115556429738,0
F,South,Gillnets,winter,small,a,43.0092763526473,2
G,South,Gillnets,winter,small,a,62.6219223370031,0
H,South,Gillnets,winter,small,a,107.883710303045,0
I,South,Gillnets,winter,small,a,83.1004500951951,0
J,South,Gillnets,winter,small,a,81.2778621255384,0
A,North,Longlines,winter,small,a,77.5146639358264,0
B,North,Longlines,winter,small,a,80.2175529309466,3
C,North,Longlines,winter,small,a,69.3582366450538,0
D,North,Longlines,winter,small,a,71.0059967869725,0
E,North,Longlines,winter,small,a,90.4352912404346,0
F,North,Longlines,winter,small,a,39.3526877833885,0
G,North,Longlines,winter,small,a,88.1174313723681,1
H,North,Longlines,winter,small,a,61.4351891016918,0
I,North,Longlines,winter,small,a,36.1341448191266,0
J,North,Longlines,winter,small,a,67.5763572189466,0
A,South,Longlines,winter,small,a,29.8044305925628,0
B,South,Longlines,winter,small,a,42.3079985266857,0
C,South,Longlines,winter,small,a,66.0435499722623,6
D,South,Longlines,winter,small,a,73.3388314393198,0
E,South,Longlines,winter,small,a,76.1505896498094,0
F,South,Longlines,winter,small,a,53.8020270365534,0
G,South,Longlines,winter,small,a,40.2086376071116,0
H,South,Longlines,winter,small,a,90.2056630497133,0
I,South,Longlines,winter,small,a,86.1029096843261,0
J,South,Longlines,winter,small,a,76.4189603347593,0
A,North,Trawlers,winter,small,a,114.021402412666,0
B,North,Trawlers,winter,small,a,236.731453446906,10
C,North,Trawlers,winter,small,a,254.35545530094,7
D,North,Trawlers,winter,small,a,262.985976364053,116
E,North,Trawlers,winter,small,a,175.235447260355,35
F,North,Trawlers,winter,small,a,165.831272815079,0
G,North,Trawlers,winter,small,a,242.085560808541,2
H,North,Trawlers,winter,small,a,234.232556057852,2
I,North,Trawlers,winter,small,a,218.275120505903,0
J,North,Trawlers,winter,small,a,123.914641594751,0
A,South,Trawlers,winter,small,a,207.959274641985,0
B,South,Trawlers,winter,small,a,275.847115843069,0
C,South,Trawlers,winter,small,a,194.067793161532,5
D,South,Trawlers,winter,small,a,143.33557600617,17
E,South,Trawlers,winter,small,a,103.700866238944,1
F,South,Trawlers,winter,small,a,195.469314388674,0
G,South,Trawlers,winter,small,a,211.899857130121,0
H,South,Trawlers,winter,small,a,287.093414771191,0
I,South,Trawlers,winter,small,a,171.514053588075,0
J,South,Trawlers,winter,small,a,165.750608184375,0
A,North,Gillnets,spring,small,a,125.53679256489,1
B,North,Gillnets,spring,small,a,195.463702949847,0
C,North,Gillnets,spring,small,a,144.738413021441,0
D,North,Gillnets,spring,small,a,157.534957855028,0
E,North,Gillnets,spring,small,a,163.36965286879,24
F,North,Gillnets,spring,small,a,182.184417482706,4
G,North,Gillnets,spring,small,a,199.407500532251,0
H,North,Gillnets,spring,small,a,112.756579619331,1
I,North,Gillnets,spring,small,a,73.3149689015286,1
