region,gear,season,vessel_size,area,days
North,Gillnets,winter,small,a,65661.3348692189
North,Gillnets,winter,small,a,47065.6243713513
North,Gillnets,winter,small,a,43110.0732637832
North,Gillnets,winter,small,a,49159.9297148253
North,Gillnets,winter,small,a,42585.0441263942
North,Gillnets,winter,small,a,31650.1547136116
North,Gillnets,winter,small,a,51340.0708077737
North,Gillnets,winter,small,a,41451.1476904174
North,Gillnets,winter,small,a,54366.2831929154
North,Gillnets,winter,small,a,43750.4331437594
South,Gillnets,winter,small,a,21900.4882892869
South,Gillnets,winter,small,a,25301.6813667993
South,Gillnets,winter,small,a,23360.5622713741
South,Gillnets,winter,small,a,29172.6116338626
South,Gillnets,winter,small,a,18315.5900594796
South,Gillnets,winter,small,a,28722.1130376076
South,Gillnets,winter,small,a,16358.0737921837
South,Gillnets,winter,small,a,23339.6502912502
South,Gillnets,winter,small,a,15472.0624896121
South,Gillnets,winter,small,a,15429.491851036
North,Longlines,winter,small,a,10009.7324772187
North,Longlines,winter,small,a,10424.6170496364
North,Longlines,winter,small,a,15671.064180765
North,Longlines,winter,small,a,11008.4185072536
North,Longlines,winter,small,a,10693.749618782
North,Longlines,winter,small,a,9273.79121204654
North,Longlines,winter,small,a,5392.93591161634
North,Longlines,winter,small,a,6825.58171946732
North,Longlines,winter,small,a,6070.04220323515
North,Longlines,winter,small,a,8360.61417215429
South,Longlines,winter,small,a,12214.1899419465
South,Longlines,winter,small,a,12624.4308909395
South,Longlines,winter,small,a,6419.04152477353
South,Longlines,winter,small,a,8042.74401748821
South,Longlines,winter,small,a,7446.62862441473
South,Longlines,winter,small,a,13947.1801693427
South,Longlines,winter,small,a,12273.5429921265
South,Longlines,winter,small,a,9156.44993015291
South,Longlines,winter,small,a,9872.92016789528
South,Longlines,winter,small,a,7546.49177014532
North,Trawlers,winter,small,a,7499.73441926924
North,Trawlers,winter,small,a,5926.38558229343
North,Trawlers,winter,small,a,4457.656245274
North,Trawlers,winter,small,a,7053.96640834472
North,Trawlers,winter,small,a,6083.04078029009
North,Trawlers,winter,small,a,6998.55660534611
North,Trawlers,winter,small,a,9099.50642319587
North,Trawlers,winter,small,a,7568.77927900327
North,Trawlers,winter,small,a,7706.92440012435
North,Trawlers,winter,small,a,5595.96461072311
South,Trawlers,winter,small,a,6294.09472976374
South,Trawlers,winter,small,a,4201.88778529247
South,Trawlers,winter,small,a,5216.36381340799
South,Trawlers,winter,small,a,7897.76741994819
South,Trawlers,winter,small,a,7758.79207087523
South,Trawlers,winter,small,a,4841.92496464778
South,Trawlers,winter,small,a,4925.42096737183
South,Trawlers,winter,small,a,8542.34664927714
South,Trawlers,winter,small,a,7115.09101072317
South,Trawlers,winter,small,a,10521.616433882
North,Gillnets,spring,small,a,148639.641025002
North,Gillnets,spring,small,a,142318.897299336
North,Gillnets,spring,small,a,82164.5654019928
North,Gillnets,spring,small,a,134552.842414376
North,Gillnets,spring,small,a,109123.544490984
North,Gillnets,spring,small,a,146258.13065812
North,Gillnets,spring,small,a,114650.132437764
North,Gillnets,spring,small,a,113863.394673396
North,Gillnets,spring,small,a,74713.5742381643
North,Gillnets,spring,small,a,98165.4920460516
South,Gillnets,spring,small,a,54159.8436519497
South,Gillnets,spring,small,a,75969.6957824148
South,Gillnets,spring,small,a,36668.8006166176
South,Gillnets,spring,small,a,49480.9705651158
South,Gillnets,spring,small,a,63908.7017738428
South,Gillnets,spring,small,a,60074.865826597
South,Gillnets,spring,small,a,52118.911355214
South,Gillnets,spring,small,a,44557.0319185952
South,Gillnets,spring,small,a,91186.4684780512
South,Gillnets,spring,small,a,37404.7473601161
North,Longlines,spring,small,a,22516.3826871005
North,Longlines,spring,small,a,16735.9444132394
North,Longlines,spring,small,a,19170.2211070382
North,Longlines,spring,small,a,25269.8131489665
North,Longlines,spring,small,a,16701.4787786292
North,Longlines,spring,small,a,25883.9844386873
North,Longlines,spring,small,a,22085.9747493543
North,Longlines,spring,small,a,15682.7665299731
North,Longlines,spring,small,a,27582.3427061308
North,Longlines,spring,small,a,15445.3047197692
South,Longlines,spring,small,a,18261.6021753401
South,Longlines,spring,small,a,16319.9987608849
South,Longlines,spring,small,a,18287.7559454852
South,Longlines,spring,small,a,18424.0687695895
South,Longlines,spring,small,a,24246.9827477395
